__id,Code de la région,Libellé de la région,Code de la section départementale,Libellé de la section départementale,Nom de l'élu,Prénom de l'élu,Code sexe,Date de naissance,Code de la catégorie socio-professionnelle,Libellé de la catégorie socio-professionnelle,Date de début du mandat,Libellé de la fonction,Date de début de la fonction,source_url
8,01,Guadeloupe,971,Guadeloupe,CHALUS,Ary,M,1961-06-12,75,Ancienne profession intermédiaire,2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
45,04,La Réunion,974,La Réunion,BELLO,Huguette,F,1950-08-24,34,"Professeur, profession scientifique",2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
178,11,Île-De-France,78,Yvelines,PÉCRESSE,Valérie,F,1967-07-14,33,Cadre de la fonction publique,2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
349,24,Centre-Val De Loire,45,Loiret,BONNEAU,François,M,1953-12-10,74,Ancien cadre,2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
498,28,Normandie,27,Eure,MORIN,Hervé,M,1961-08-17,12,Agriculteur sur moyenne exploitation,2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
568,32,Hauts-De-France,02,Aisne,BERTRAND,Xavier,M,1965-03-21,85,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
761,44,Grand Est,51,Marne,LEROY,Franck,M,1963-12-01,31,Profession libérale,2021-02-07,Président du conseil régional,2023-01-13,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
974,52,Pays De La Loire,72,Sarthe,MORANÇAIS,Christelle,F,1975-01-28,72,"Ancien artisan, commerçant, chef d'entreprise",2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
1039,53,Bretagne,35,Ille-Et-Vilaine,CHESNAIS-GIRARD,Loïg,M,1977-03-25,37,Cadre administratif et commercial d'entreprise,2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
1173,75,Nouvelle-Aquitaine,33,Gironde,ROUSSET,Alain,M,1951-02-16,74,Ancien cadre,2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
1316,76,Occitanie,31,Haute-Garonne,DELGA,Carole,F,1971-08-19,85,Personne diverse sans activité professionnelle de moins de 60 ans (sauf retraité),2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
1601,84,Auvergne-Rhône-Alpes,73,Savoie,PANNEKOUCKE,Fabrice,M,1975-05-14,34,"Professeur, profession scientifique",2024-05-09,Président du conseil régional,2024-05-09,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
1697,93,Provence-Alpes-Cote D'Azur,13,Bouches-Du-Rhône,MUSELIER,Renaud,M,1959-06-05,23,Chef d'entreprise de 10 salariés ou plus,2021-02-07,Président du conseil régional,2021-02-07,https://www.data.gouv.fr/api/1/datasets/repertoire-national-des-elus-1/
